corr_model_times,,
name,time (seconds),training score,testing score
test_cor,402.2243580818176,0,0
log_reg,2.516590118408203,100.0,95.8
svm_linear,2.7379839420318604,100.0,95.39999999999999
svm_poly_2,3.9337990283966064,98.63333333333333,96.8
svm_poly_3,4.952960968017578,97.3,95.1
svm_poly_4,6.175000905990601,95.71666666666667,93.4
vif,149.29351615905762,0,0
log_reg,2.7030210494995117,98.11666666666666,95.8
svm_poly_2,2.9250152111053467,98.55000000000001,97.39999999999999
svm_poly_3,3.8348021507263184,96.81666666666666,95.19999999999999
svm_poly_4,4.912482023239136,93.85,90.9

feature_mean_model_times,,
name,time (seconds),training score,testing score
log_reg,3.53159499168396,100.0,97.0
svm_linear,8.274698972702026,100.0,97.0
svm_poly_2,49.31438112258911,99.15,97.39999999999999
svm_poly_3,35.042227268218994,98.21666666666667,95.8
svm_poly_4,43.08273005485535,96.15,93.89999999999999

PCA_model_times,,
name,time (seconds),training score,testing score
pca,95.85758376121521,0,0
log_reg,89.49584102630615,100.0,96.3
svm_linear_model,96.0925886631012,100.0,96.2
svm_poly_2,127.30701088905334,99.9,96.89999999999999
svm_poly_3,127.12829804420471,99.85000000000001,96.0
svm_poly_4,138.59603881835938,99.53333333333333,80.2

whole_data_model_times,,
name,time (seconds),training score,testing score
log_reg,8.35941481590271,100.0,97.8
svm_linear,45.07955574989319,100.0,97.6
svm_poly_2,75.72205710411072,99.8,98.0
svm_poly_3,292.9936969280243,99.78333333333333,96.7
svm_poly_4,336.7128210067749,99.2,94.1
