corr_model_times,
name,time (seconds),training score,testing score
test_cor,402.2243580818176,0,0
log_reg,2.516590118408203,100.0,95.8
svm_linear,2.7379839420318604,100.0,95.39999999999999
svm_poly_2,3.9337990283966064,98.63333333333333,96.8
svm_poly_3,4.952960968017578,97.3,95.1
svm_poly_4,6.175000905990601,95.71666666666667,93.4
vif,149.29351615905762,0,0
log_reg,2.7030210494995117,98.11666666666666,95.8
svm_poly_2,2.9250152111053467,98.55000000000001,97.39999999999999
svm_poly_3,3.8348021507263184,96.81666666666666,95.19999999999999
svm_poly_4,4.912482023239136,93.85,90.9
